英,汉
lucky,"adj.有好运的；运气好的；幸运的；好运带来的
n.〈俚〉逃亡"
made,"adj.…制的；拼成的；虚构的；体格…的
v.“make”的过去式和过去分词"
words,"n.单词；话；歌词；诺言
v.说"
him,pron.他；指上帝
contagious,adj.（疾病）接触传染的；患接触性传染病
h,na.英语字母表的第八个字母；H形物
rapper,n.【乐】说唱歌手
stupid,"n.傻子
adj.欠考虑的；糊涂的；笨的；傻的"
voles,"n.【动】田鼠；【牌】全赢
v.【牌】全胜"
fixed,"adj.固定的；不变的；不能变的；不易改变的
v.“fix”的过去分词和过去式"
insane,"adj.精神失常的；精神错乱的；十分愚蠢的；疯狂的
n.精神失常的人；精神错乱的人"
art,"n.艺术；技术；技巧；表演艺术
v.对一人讲话时用"
throwing,"v.扔；抛；丢；投
n.扔；抛；摔；投（球）"
sex,"n.性；性别；男性；女性
adj.性的；与性有关的
v.辨识…的性别"
anyways,adv.〈口〉从任何观点来看
arm,"n.臂；手臂；扶手；上肢
v.武装；装备；备战；使（炸弹等）随时爆炸"
best,"adv.最；最高程度地；最出色地；最高标准地
adj.最好的；最出色的；最优秀的；最愉快的
n.最好的事物（或人）；（人或事物所能达到的）最高标准
v.胜过；打败"
wonder,"v.想知道；惊讶；惊叹；琢磨
n.奇迹；惊讶；惊奇；奇观
adj.极好的；极有效的；非常美丽的"
satisfying,"adj.令人满意（或满足）的
v.“satisfy”的现在分词"
inappropriate,adj.不合时宜的；不适用的；不适合的；不正当的
nightmare,n.噩梦；梦魇；极其糟糕的情况；恶梦般可怕的事
whereabouts,"n.下落；行踪；（人或物）所在的地方
adv.在哪里"
enough,"pron.足够；充足；充分
n.足够
adv.相当；充分的；足够地；充分地
int.够了
adj.充足的"
smallest,"adj.（尺寸、数量、程度等）小的；（服装、食品、家庭用品等）小号的；小 (opp. large) 少 (opp. large, numerous) 细小的
n.腰部；细小部分；琐碎东西；身分低的人；后腰；小件衣服（尤指内衣）
adv.成为小块；小小地；轻轻地(讲等)"
monsters,"n.怪物；庞然大物；恶魔；指淘气的孩子
adj.巨大的；(建筑物)巍峨的"
whipped,"n.鞭子；【无线】鞭状天线；投票指示；(某党)议员领袖；(四马的)马车夫；猎犬指挥员；【无线】鞭状天线；(四马的)马车夫；猎犬指挥员；【无线】鞭状天线；(某党)议员领袖
v.鞭打；鞭笞；〈口〉击败；抽打；鞭打；鞭挞；鞭策；督促；鞭打；鞭挞；驱使；督促"
men,n.man（男人、人类）的复数形式
dozen,n.很多；（一）打；十二个；十来个
missing,"adj.找不到的；不在的；丢失的；被去除的
v.“miss”的现在分词"
prettiest,"adv.很；相当；颇；相当；相当；还；非常；颇；还；非常
adj.英俊的；动听的；恭维的；宜人的；俊俏的；潇洒的；精致的；(花园,山谷等)可爱的；漂亮的；潇洒的；(场所,物件等)整洁的；(花园,山谷等)可爱的；美的；动听的；恭维的；宜人的
n.宝贝；〈美〉漂亮东西；【高】球的正规通路；(玻璃杯的)凹条花纹；宝贝；衣饰；【高】球的正规通路；(玻璃杯的)凹条花纹；心肝；漂亮东西；宝贝；漂亮东西"
blame,"n.责备；（坏事或错事的）责任；指责
v.责怪；把…归咎于；指责"
news,n.新闻；消息；音信；新闻人物
league,"n.联赛；联盟；协会；种类
v.(使)结盟；(使)联合[团结]；一鼻孔出气；组成联盟"
hits,"v.命中；打；打击；达到
n.命中；打击；碰撞；【棒】安全打"
figured,"adj.饰以图案的
v.“figure”的过去分词和过去式"
many,"adj.多
adv.大量
n.多数人[东西]；大多数人；【女名】女子名
pron.许多人[物]"
annual,"n.年报；年鉴；年刊；一年生植物
adj.每年的；一年一次的；年度的；一年的"
admit,v.（常指勉强）承认；承认（过错、罪行）；招认；招供
brad,n.角钉；平头钉
unh,na.【化】元素NE25A的符号
comes,"v.来；来到；发生；成为
n.精液；精子
int.得啦
prep.（提及的时间）到来"
afterwards,adv.后来；以后
cancer,n.癌；恶性肿瘤；巨蟹座；毒瘤
sky,"n.天空
v.把（球）击向高空"
compels,"v.强迫；协迫；使不得不；迫使(服从,沉默等)"
pop,"adv.突然；砰地(一声)
n.流行音乐；汽水；（短促清脆的爆裂声）砰；爹
v.（使）发砰砰声；发爆裂声；（突然或匆匆）去；（迅速或突然）放置
adj.流行音乐的；通俗风格的；通俗的；现代的
abbr.(=printing-out paper)【摄】(利用光照直接显影的)印相纸"
hitler,na.Hitler
cares,"v.关心；关怀；忧虑；介意
n.关怀；注意；照料；牵累
abbr.(=Cooperative for American Relief Everywhere)美国援外合作组织"
dis,"n.【罗神】阎王；地狱
v.作践（尤指用侮辱性言辞）"
hitting,"v.打；打击；击中；命中；命中；打；打击；达到
n.打；击中；命中；很受欢迎的人（或事物）；命中；打击；碰撞；【棒】安全打"
slowly,adv.缓慢地；迟缓地；慢条斯理地
maintenance,n.维护；维持；保养；保持
dangers,n.危险；威胁；势力范围
combine,"v.组合；合并；兼备；兼有
n.联合收割机；集团；联合企业"
waste,"n.垃圾；废物；浪费；废料
v.浪费；白费；糟蹋；滥用
adj.荒芜的；废弃的；丢弃的；无用的"
direction,n.方向；指导；趋势；方位
reaction,n.反应；化学反应；回应；反动
finished,"adj.完成；完蛋；不再与…打交道；垮台
v.“finish”的过去式和过去分词"
catch,"v.抓住；捕捉；捕获；接住
n.接（球等）；总捕获量；扣拴物；扣件
adj.有趣味的；设有圈套的"
careful,adj.小心；注意；谨慎；细致的
realities,n.事实；真实；【哲】现实；现实性
case,"n.病例；实例；箱；事例
v.包；观察；把…装入箱内[袋内]；把…插入鞘内
abbr.(=computer-aided software engineering)【计】计算机辅助软件工程"
homes,"n.家；〈美〉住宅；疗养所；家庭生活
adv.在家；回家；【棒】回本垒；全
v.回家；居住；按信号暗示回场；【火箭】(自动)导航
adj.家乡的；本国的；国内的；严厉的"
myself,pron.亲自；（用于动作影响说话人或作者时）我自己
juice,"n.果汁；电；肉汁；胃液
v.榨汁；榨出（水果或蔬菜的）汁液"
straight,"adj.直的；直筒型（非紧身）的；准的；正中目标的
adv.笔直地；平正地；成直线；直接
n.异性恋者；直道部分"
n,abbr.【化】同“nitrogen”；90；同“North”
trick,"n.技巧；诡计；诀窍；把戏
v.欺骗；欺诈
adj.意在欺骗的；容易使人上当的；虚弱有毛病的"
neat,"n.〈集合词〉牛；牛类
adj.整洁的；整齐的；有序的；有条理的"
outrank,v.（在职衔、质量等上）超过
wild,"adj.狂热；自然生长的；野的；野生的
n.自然环境；野生状态；偏远地区；人烟稀少的地区
adv.狂暴地；猛烈地；胡乱地"
mistake,"n.错误；失策；失误；误会
v.误会；误解；误认；弄错"
seven,"num.七
n.〈比喻〉十分；七岁；七点钟；七个人"
almost,"adv.几乎；差不多
adj.〈罕〉近似的"
skipping,"v.略过；打水漂；漏过；蹦蹦跳跳地走
n.蹦跳；废料桶（装工地废料、垃圾等，由卡车拖走）"
creepy,adj.令人毛骨悚然的；令人不寒而栗的；离奇的（使人感到紧张）
partner,"n.合伙人；搭档；同伴；配偶
v.配对"
starlight,"n.星光
adj.星光灿烂的"
digging,"v.喜欢；寻找；掘（地）；凿（洞）；挖；喜欢；探究 (up； out)；看到
n.挖苦；（用手指或肘部）轻碰；嘲讽；考古发掘；挖掘地点；挖苦；一挖；一戳"
relatively,adv.相当程度上；相当地；相对地
week,n.周；星期；礼拜；一周
ball,"n.球；球状物；踢出（或击出、投出）的一球；（投手投出的）坏球
v.做成球状；使成团块；和（女性）交媾"
smidge,web.一点点；撕不破纸板书
yo,"int.嘿
adv.〈美俚〉同“yes”"
ness,n.海岬；岬(角)
hand,"n.手；手工；帮助；指针
v.交；递；给"
koala,n.树袋熊；考拉熊；无尾熊
infinite,"adj.极大的；无法衡量的；无限的；无穷尽的
n.无限的事物；无穷尽的事物；上帝"
cycle,"n.循环；自行车；摩托车；整套
v.骑自行车；骑自行车旅行"
shortly,adv.不久；马上；立刻；不多时
shotgun,"n.猎枪；霰弹枪
adj.用武力的"
failing,"n.缺点；弱点
prep.如果没有；如果不能
adj.衰退中的
v.“fail”的现在分词"
anybody,"pron.任何人；随便哪一个人
n.重要人物；平常人"
obviously,adv.显然；明显地
cronenberg,web.柯能堡
bodies,"n.身体；机构；物体；主体
v.体现；实现；刻划；使呈现于心中"
left,"n.左；左边；左方；左转弯
adv.向左；在左边
adj.左边的
v.“leave”的过去式和过去分词"
skin,"n.皮；皮肤；…皮肤的；（兽）皮
v.剥皮；扒皮；削皮；擦破（身体某部位的）皮肤
adj.有…皮的；没有草皮的"
valuable,"adj.很有用的；很重要的；宝贵的；很值钱的
n.贵重物品"
rodent,"n.啮齿动物
adj.嚼的；【动】啮齿目的；【医】侵蚀性的(溃疡等)"
shape,"n.形状；外形；状况；样子
v.塑造；使成为…形状（或样子）；决定…的形成；影响…的发展
abbr.(=Supreme Headquarters； Allied Powers in Europe)(北大西洋公约组织的)欧洲盟军最高司令部"
praying,"v.祈祷；祷告；恳求；乞求
adv.请；〈旧〉请问"
death,n.死亡；死神；毁灭；生命的终止
thinking,"n.思考；思维；思想；想法
adj.思想的；有理智的；有思考力的
v.“think”的现在分词；“rethink”的现在分词"
smith,n.史密斯；铁匠；【姓氏】史密斯；金属工匠
add,"v.添加；增加；补充说；继续说
abbr.(=American Dialect Dictionary)美国方言词典"
spread,"n.传播；蔓延；扩展；散布
v.传播；扩散；展开；散布
adj.广大的；大幅的；(宝石)薄而无光泽的"
parents,n.亲本；双亲；父亲；母亲
hat,"n.（常指带檐的）帽子；（双重的）职位
v.〈口〉给…戴上帽子"
humanity,n.人性；人类；人道；仁慈
smart,"adj.衣冠楚楚的；衣着讲究的；整洁而漂亮的；光鲜的
n.聪敏；疼痛；苦痛；悲痛
v.感到剧烈刺痛；（因批评、失败等）难过
adv.同“smartly”"
emergency,n.突发事件；紧急情况
big,"adv.大大；给人印象深地
n.大亨；大公司
adj.巨大的；年龄较大的；重大的；严重的"
game,"n.游戏；比赛；运动；策略
v.打赌；赌输赢
adj.甘愿尝试；有冒险精神"
injuring,"v.损害；伤害(感情,自尊心等)"
bit,"n.钻头；比特；小块；嚼子
v.约束；“bite”的过去式和过去分词；给(马)上嚼子"
lady,n.女士；夫人；小姐；淑女
apart,"adv.分开；分离；相距；不在一起
adj.(与众)不同的"
soft,"adj.软的；柔软的；硬度较低的；较软的
n.柔软(部分)；〈口〉拙笨；傻子；〈美俚〉钱
adv.同“softly. lie soft”
int.〈古〉别响"
doll,"n.洋娃娃；貌美心拙的妇女；〔美俚〕姑娘；美女
v.〔美俚〕着意打扮"
hair,n.毛发；（尤指）头发；有…毛发（或头发）的；（植物叶、茎上的）茸毛
ourselves,pron.亲自；（we 的反身形式）我们自己
creep,"v.爬行；蔓延；悄悄地缓慢行进；蹑手蹑脚地移动
n.讨厌鬼；讨好卖乖的人；谄媚奉承的人；马屁精
abbr.(=Committee for the Reelection of the President)(美国)支持总统连任委员会"
happens,v.发生；〈口〉出现；偶然…
opposite,"n.反面；对立面；对立的人（或物）
adj.对面的；另一边的；相反的；迥然不同的
prep.与…相对；在…对面；与…合演；与…联袂演出
adv.在对面"
rattlesnake,n.响尾蛇（产于美洲）
ice,"n.冰；冰块；冰场；溜冰场
v.在（糕饼上）加糖霜"
everything,pron.一切；所有事物；每件事；形势
asking,"n.问；请求
v.“ask”的现在分词"
screwed,"n.螺旋；螺钉；螺旋桨；暗轮
v.用螺丝拧紧[钉紧]；【台】拧(球)；【网】搓(球)；削(球)"
beating,"n.揍；狠打；笞打；惨败
v.“beat”的现在分词"
ripped,"v.裂开；猛地扯开；突然拉开；扯裂；撕开；解(木材)；凿开(洞穴等)
n.（织物、纸张等）撕开的大口子；巨澜；清管器；刮刀；劣马"
rapping,"v.敲击；击打；突然大声说出；突然厉声说出
n.叩击；快速的敲击；说唱音乐（节奏快而强，配有快速念白的流行音乐）"
cronenbergs,
refused,"v.拒绝；否认；不肯(承认,服从等)；拒婚
n.渣滓；废物
adj.废料的"
step,"n.步；步骤；台阶；步伐
v.踩；踏；行走；迈步"
discussed,v.讨论；论述；议论；〈口〉津津有味地吃[喝]完
lifeless,adj.死的；像是死的；无生命的；无生物生长的
wanna,na.〈美俚〉同“want to”
road,"n.道路；公路；途径；方法
v.(狗)闻着臭迹追"
repair,"v.修理；修补；修缮；补救
n.修理；修补；修缮"
texting,"n.发短信
v.text的现在分词形式"
hemingway,n.海明威；Ernest Hemingway 欧内斯特海明威
nonsense,"n.胡言乱语；胡扯；谬论；愚蠢的行为
int.荒唐"
bath,"n.洗澡；浴缸；洗浴；浴盆
v.洗澡；给…洗澡"
homeless,"adj.无家的
n.无家可归的人们"
wrap,"v.包；用…包裹（或包扎、覆盖等）；用…缠绕（或围紧）；（使文字）换行
n.围巾；包裹（或包装）材料；停机"
technically,adv.根据确切意义地；严格按照事实地；在专业上；在技巧上
privates,n.“private”的复数
support,"v.支持；支护；支撑；支援
n.支持；支护；支撑；支承"
jealousy,n.忌妒；妒羡；羡慕；羡慕（的言行）
noticed,"v.注意；看到；提及；(在报刊等上)介绍
n.注意；通知；公告；认识"
